layer_idx,layer_name,kind,tensor_zero_ratio,msb_zero_ratio,lsb_zero_ratio,numel,shape
0,conv1,weight,0.0215773805975914,0.22587159276008606,0.06366921961307526,9408,"(64, 3, 7, 7)"
1,layer1.0.conv1,weight,0.1550835520029068,0.464111328125,0.1797417551279068,36864,"(64, 64, 3, 3)"
2,layer1.0.conv2,weight,0.0240614153444767,0.2988010048866272,0.0644259974360466,36864,"(64, 64, 3, 3)"
3,layer1.1.conv1,weight,0.02555338479578495,0.3165147602558136,0.0636664479970932,36864,"(64, 64, 3, 3)"
4,layer1.1.conv2,weight,0.01934136264026165,0.2709147036075592,0.0624728724360466,36864,"(64, 64, 3, 3)"
5,layer2.0.conv1,weight,0.0229627825319767,0.2903645932674408,0.064208984375,73728,"(128, 64, 3, 3)"
6,layer2.0.conv2,weight,0.02518717385828495,0.3218926191329956,0.0620252825319767,147456,"(128, 128, 3, 3)"
7,layer2.0.downsample.0,weight,0.01904296875,0.244140625,0.06494140625,8192,"(128, 64, 1, 1)"
8,layer2.1.conv1,weight,0.0261569544672966,0.3205702006816864,0.0626695454120636,147456,"(128, 128, 3, 3)"
9,layer2.1.conv2,weight,0.0189344622194767,0.26397705078125,0.0620591901242733,147456,"(128, 128, 3, 3)"
10,layer3.0.conv1,weight,0.0231051966547966,0.2954271137714386,0.0620320625603199,294912,"(256, 128, 3, 3)"
11,layer3.0.conv2,weight,0.02469719760119915,0.3148549497127533,0.0624101422727108,589824,"(256, 256, 3, 3)"
12,layer3.0.downsample.0,weight,0.0166015625,0.22186279296875,0.06390380859375,32768,"(256, 128, 1, 1)"
13,layer3.1.conv1,weight,0.0219082310795784,0.2838779091835022,0.0623185895383358,589824,"(256, 256, 3, 3)"
14,layer3.1.conv2,weight,0.01856316439807415,0.2534688413143158,0.0624355748295784,589824,"(256, 256, 3, 3)"
15,layer4.0.conv1,weight,0.01868269219994545,0.2523227334022522,0.06222788617014885,1179648,"(512, 256, 3, 3)"
16,layer4.0.conv2,weight,0.02043830044567585,0.27271905541419983,0.062426671385765076,2359296,"(512, 512, 3, 3)"
17,layer4.0.downsample.0,weight,0.01581573486328125,0.221160888671875,0.06180572509765625,131072,"(512, 256, 1, 1)"
18,layer4.1.conv1,weight,0.017233530059456825,0.2340359091758728,0.06262461096048355,2359296,"(512, 512, 3, 3)"
19,layer4.1.conv2,weight,0.020578596740961075,0.26858097314834595,0.06251101940870285,2359296,"(512, 512, 3, 3)"
